ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0417","0417","25","Rumphi","Rumphi District Hospital","3","District Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0418","0418","25","Rumphi","St Patricks Health Center","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0419","0419","25","Rumphi","Tcharo Dispensary","3","Dispensary","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0421","0421","25","Rumphi","Chitsimuka Health Center","3","Health Center","MOH","2","","","","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0422","0422","25","Rumphi","Jalawe Health Center","3","Health Center","","2","","","","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0423","0423","25","Rumphi","Lura Health Center","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0424","0424","25","Rumphi","Ngonga Health Center","3","Health Center","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0429","0429","25","Rumphi","Eva Demaya","3",\N,"Health Centre","2",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"0501","0501","17","Mzimba","Mzimba District Hospital","3","District Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0502","0502","17","Mzimba","Euthini Rural Hospital","3","Rural Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0503","0503","17","Mzimba","Chikangawa Health Centre","3","Health Center","Forestry","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0504","0504","17","Mzimba","Emfeni Health Center","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0505","0505","17","Mzimba","Edingeni Rural Hospital","3","Rural Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0506","0506","17","Mzimba","Ehehleni Dispensary","3","Dispensary","","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
